408,241
409,233
408,224
406,215
404,206
401,198
396,190
391,182
386,175
379,168
372,162
364,157
356,153
347,149
338,146
328,144
319,144
309,144
299,145
290,147
281,150
271,154
263,159
255,164
247,171
240,178
234,186
229,195
224,204
220,214
218,224
216,234
216,244
216,255
218,265
220,276
224,286
228,295
234,304
240,313
248,321
256,328
265,335
274,340
284,345
295,348
306,351
317,352
328,352
339,351
350,349
361,346
372,342
382,337
392,330
401,323
409,315
417,306
423,296
429,286
433,275
437,264
439,252
440,240
440,228
439,216
436,204
432,192
428,181
422,171
414,160
406,151
397,142
388,135
377,128
366,123
354,118
342,115
329,113
316,112
303,113
291,114
278,117
266,122
254,127
243,134
232,142
223,151
214,161
206,171
199,183
194,195
189,208
186,221
185,234
184,248
185,262
188,275
191,288
196,301
203,313
210,325
219,336
228,346
239,355
251,363
263,370
276,375
290,379
304,382
318,383
333,383
347,382
361,379
375,375
388,369
401,362
413,354
425,344
435,333
444,322
452,309
459,296
464,282
468,267
470,253
471,237
471,222
469,207
465,192
460,178
454,164
446,151
437,138
426,127
415,116
402,107
389,99
375,92
360,87
344,83
329,81
313,81
297,82
281,84
265,89
250,94
236,102
222,110
209,120
198,132
187,144
178,158
170,172
163,187
158,203
155,219
153,236
153,253
155,269
158,286
163,302
169,318
177,332
187,347
198,360
210,372
224,382
238,392
253,400
269,406
286,411
303,414
321,415
338,415
356,412
373,408
390,403
406,395
421,386
436,376
449,364
461,351
472,337
481,321
489,305
495,288
499,270
502,252
503,234
502,216
499,197
494,180
488,162
480,146
470,130
459,115
446,102
432,89
416,78
400,69
383,62
365,56
346,52
327,50
308,49
289,51
270,55
252,60
234,67
217,76
201,87
186,99
172,113
160,128
149,145
140,162
132,180
127,199
123,219
122,238
122,258
124,278
128,298
135,317
143,335
153,352
164,369
178,384
